trade_key,trade_id,baseline_exit_profile,guardrail_exit_profile,baseline_exit_time,guardrail_exit_time,baseline_bars_held,guardrail_bars_held,baseline_pnl_bps,guardrail_pnl_bps,delta_pnl_bps,range_edge_dist_atr
2025-02-11T05:15:00+00:00_2918.68_long_nan,SIM-1765738738-001140,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-02-19T10:50:00+00:00,2025-02-19T10:50:00+00:00,2371.0,2371.0,87.0256417284529,87.0256417284529,0.0,10.0
2025-02-03T23:55:00+00:00_2814.47_long_nan,SIM-1765736757-000982,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-12-14T18:34:42.205233+00:00,2025-12-14T21:51:20.169703+00:00,90368.0,90407.0,195.4542062981671,195.4542062981671,0.0,1.433783696297374
2025-04-20T22:00:00+00:00_3332.23_long_nan,SIM-1765732356-000192,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-12-14T17:13:52.737994+00:00,2025-12-14T20:34:18.064488+00:00,68487.0,68527.0,182.5504241904068,182.5504241904068,0.0,2.120448646962198
2025-02-11T05:05:00+00:00_2918.66_long_nan,SIM-1765738733-001138,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-02-19T10:50:00+00:00,2025-02-19T10:50:00+00:00,2373.0,2373.0,87.09476266505888,87.09476266505888,0.0,8.844879630967979
2025-02-11T05:20:00+00:00_2918.95_long_nan,SIM-1765738740-001141,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-02-19T10:50:00+00:00,2025-02-19T10:50:00+00:00,2370.0,2370.0,86.09260179174056,86.09260179174056,0.0,10.0
2025-04-01T22:05:00+00:00_3114.35_long_nan,SIM-1765739479-001544,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-04-08T16:45:00+00:00,2025-04-08T16:45:00+00:00,1952.0,1952.0,-404.9962271421007,-404.9962271421007,0.0,10.0
2025-04-03T22:05:00+00:00_3113.96_long_nan,SIM-1765740286-001611,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-04-08T16:45:00+00:00,2025-04-08T16:45:00+00:00,1376.0,1376.0,-403.79452529897696,-403.79452529897696,0.0,9.590117719230259
2025-06-05T22:15:00+00:00_3357.75_long_nan,SIM-1765732299-000344,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-12-14T17:27:13.895279+00:00,2025-12-14T20:47:16.291266+00:00,55238.0,55278.0,188.2808428262968,188.2808428262968,0.0,9.611426429240915
2025-04-01T22:20:00+00:00_3111.32_long_nan,SIM-1765739486-001547,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-04-08T16:45:00+00:00,2025-04-08T16:45:00+00:00,1949.0,1949.0,-395.6520062224405,-395.6520062224405,0.0,3.842745048824063
2025-09-09T22:15:00+00:00_3625.95_long_nan,SIM-1765732157-000186,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-12-14T17:22:04.788724+00:00,2025-12-14T20:42:15.438604+00:00,27589.0,27629.0,193.38380286545691,193.38380286545691,0.0,1.9697204539293598
2025-04-01T22:10:00+00:00_3112.64_long_nan,SIM-1765739481-001545,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-04-08T16:45:00+00:00,2025-04-08T16:45:00+00:00,1951.0,1951.0,-399.7249922895037,-399.7249922895037,0.0,10.0
2025-04-01T22:00:00+00:00_3114.37_long_nan,SIM-1765739476-001543,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-04-08T16:45:00+00:00,2025-04-08T16:45:00+00:00,1953.0,1953.0,-405.0578447647521,-405.0578447647521,0.0,10.0
2025-03-19T22:20:00+00:00_3048.58_long_nan,SIM-1765735949-001024,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-12-14T18:59:57.030700+00:00,2025-12-14T22:20:34.121453+00:00,77720.0,77760.0,190.08850021977537,190.08850021977537,0.0,2.761637502425051
2025-06-05T22:05:00+00:00_3355.85_long_nan,SIM-1765732296-000342,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-12-14T17:27:13.294703+00:00,2025-12-14T20:47:15.693166+00:00,55240.0,55280.0,190.74154089128007,190.74154089128007,0.0,9.902025419315848
2025-06-05T22:10:00+00:00_3356.43_long_nan,SIM-1765732297-000343,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-12-14T17:27:13.304057+00:00,2025-12-14T20:47:15.703103+00:00,55239.0,55279.0,188.98055374311485,188.98055374311485,0.0,9.58198066883926
2025-07-23T05:10:00+00:00_3421.6_long_nan,SIM-1765732135-000197,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-09-02T03:05:00+00:00,2025-09-02T03:05:00+00:00,11783.0,11783.0,212.61982698152912,212.61982698152912,0.0,2.3693791991663566
2025-03-19T22:10:00+00:00_3050.02_long_nan,SIM-1765735944-001022,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-12-14T19:00:06.043875+00:00,2025-12-14T22:20:44.125459+00:00,77722.0,77762.0,188.32663392371217,188.32663392371217,0.0,1.3536858596961954
2025-07-16T03:15:00+00:00_3329.98_long_nan,SIM-1765731807-000003,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-12-14T17:06:34.607363+00:00,2025-12-14T20:26:39.026362+00:00,43654.0,43694.0,195.76694154319264,195.76694154319264,0.0,2.157576632700038
2025-02-11T05:10:00+00:00_2919.14_long_nan,SIM-1765738735-001139,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-02-19T10:50:00+00:00,2025-02-19T10:50:00+00:00,2372.0,2372.0,85.43612159745699,85.43612159745699,0.0,10.0
2025-04-09T22:05:00+00:00_3074.73_long_nan,SIM-1765731827-000022,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-12-14T17:04:20.231778+00:00,2025-12-14T20:24:07.696666+00:00,71652.0,71692.0,192.7648931776123,192.7648931776123,0.0,4.229907378587817
2025-09-24T22:05:00+00:00_3739.89_long_nan,SIM-1765734534-000717,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-12-14T18:02:44.611409+00:00,2025-12-14T21:19:57.425216+00:00,23280.0,23319.0,192.33186002796953,192.33186002796953,0.0,10.0
2025-09-09T22:10:00+00:00_3630.36_long_nan,SIM-1765732156-000185,FARM_EXIT_V2_RULES_ADAPTIVE_v1,FARM_EXIT_V2_RULES_A,2025-12-14T17:22:15.146615+00:00,2025-12-14T20:42:25.677990+00:00,27590.0,27630.0,188.7691578796586,188.7691578796586,0.0,1.8467927732818483
