file,line,function,code,description,pattern
gx1/execution/exit_manager.py,60,unknown,"current_bid = float(candles[""bid_close""].iloc[-1])",bid/ask OHLC usage,bid_high|ask_high|bid_low|ask_low|bid_close|ask_close
gx1/execution/exit_manager.py,61,unknown,"current_ask = float(candles[""ask_close""].iloc[-1])",bid/ask OHLC usage,bid_high|ask_high|bid_low|ask_low|bid_close|ask_close
gx1/execution/exit_manager.py,81,unknown,"self._collect_price_trace(candles, now_ts, open_trades_copy)",price trace collection,_collect_price_trace|price_trace
gx1/execution/exit_manager.py,242,unknown,"exit_price=exit_decision.exit_price,",entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/execution/exit_manager.py,323,unknown,"exit_price=decision.exit_price,",entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/execution/exit_manager.py,464,unknown,"exit_price=exit_decision.exit_price,",entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/execution/exit_manager.py,618,unknown,"exit_price=mark_price,",entry/exit price assignment,entry_price\s*=|exit_price\s*=
gx1/execution/exit_manager.py,735,_collect_price_trace,"def _collect_price_trace(self, candles: pd.DataFrame, now_ts: pd.Timestamp, open_trades: List[Any]) ",price trace collection,_collect_price_trace|price_trace
gx1/execution/exit_manager.py,739,_collect_price_trace,"Stores high/low/close per bar in trade.extra[""_price_trace""].",price trace collection,_collect_price_trace|price_trace
gx1/execution/exit_manager.py,747,_collect_price_trace,last_bar = candles.iloc[-1],bar close semantics,candles\.iloc\[-1\]|candles\.iloc\[-2\]|\.tail\(|\.head\(
gx1/execution/exit_manager.py,754,_collect_price_trace,"elif ""bid_high"" in candles.columns and ""ask_high"" in candles.columns:",bid/ask OHLC usage,bid_high|ask_high|bid_low|ask_low|bid_close|ask_close
gx1/execution/exit_manager.py,755,unknown,"bar_high = float((last_bar[""bid_high""] + last_bar[""ask_high""]) / 2.0)",bid/ask OHLC usage,bid_high|ask_high|bid_low|ask_low|bid_close|ask_close
gx1/execution/exit_manager.py,756,unknown,"bar_low = float((last_bar[""bid_low""] + last_bar[""ask_low""]) / 2.0)",bid/ask OHLC usage,bid_high|ask_high|bid_low|ask_low|bid_close|ask_close
gx1/execution/exit_manager.py,757,unknown,"bar_close = float((last_bar[""bid_close""] + last_bar[""ask_close""]) / 2.0)",bid/ask OHLC usage,bid_high|ask_high|bid_low|ask_low|bid_close|ask_close
gx1/execution/exit_manager.py,762,unknown,"elif ""bid_close"" in candles.columns and ""ask_close"" in candles.columns:",bid/ask OHLC usage,bid_high|ask_high|bid_low|ask_low|bid_close|ask_close
gx1/execution/exit_manager.py,763,unknown,"bar_close = float((last_bar[""bid_close""] + last_bar[""ask_close""]) / 2.0)",bid/ask OHLC usage,bid_high|ask_high|bid_low|ask_low|bid_close|ask_close
gx1/execution/exit_manager.py,774,unknown,"if ""_price_trace"" not in trade.extra:",price trace collection,_collect_price_trace|price_trace
gx1/execution/exit_manager.py,775,unknown,"trade.extra[""_price_trace""] = []",price trace collection,_collect_price_trace|price_trace
gx1/execution/exit_manager.py,784,unknown,"trade.extra[""_price_trace""].append(trace_point)",price trace collection,_collect_price_trace|price_trace
gx1/execution/exit_manager.py,788,unknown,"if len(trade.extra[""_price_trace""]) > max_trace_size:",price trace collection,_collect_price_trace|price_trace
gx1/execution/exit_manager.py,789,unknown,"trade.extra[""_price_trace""] = trade.extra[""_price_trace""][-max_trace_size:]",price trace collection,_collect_price_trace|price_trace
gx1/execution/exit_manager.py,823,unknown,# Remove _price_trace from trade.extra to prevent bloating trade logs,price trace collection,_collect_price_trace|price_trace
gx1/execution/exit_manager.py,825,unknown,"if ""_price_trace"" in trade.extra:",price trace collection,_collect_price_trace|price_trace
gx1/execution/exit_manager.py,826,unknown,"del trade.extra[""_price_trace""]",price trace collection,_collect_price_trace|price_trace
