trade_id,entry_time,exit_time,side,exit_profile,pnl_bps,guardrail_applied,range_edge_dist_atr,router_decision,exit_reason,oanda_trade_id,oanda_last_txn_id,execution_status
SIM-1765970792-000001,2025-01-02T15:20:00+00:00,2025-01-02T15:40:00+00:00,long,,9.700639034315213,False,,,RULE_A_TRAILING,,,UNKNOWN
SIM-1765970793-000006,2025-01-02T15:45:00+00:00,2025-01-02T16:15:00+00:00,long,,5.952179137990281,False,,,RULE_A_PROFIT,,,UNKNOWN
SIM-1765970794-000013,2025-01-02T16:20:00+00:00,2025-01-02T16:50:00+00:00,long,,7.788396418089055,False,,,RULE_A_PROFIT,,,UNKNOWN
SIM-1765970794-000020,2025-01-02T16:55:00+00:00,2025-01-07T14:30:00+00:00,long,,7.106278340516042,False,,,RULE_A_PROFIT,,,UNKNOWN
SIM-1765970874-000513,2025-01-07T14:35:00+00:00,2025-01-08T14:50:00+00:00,long,,7.662403515690889,False,,,RULE_A_PROFIT,,,UNKNOWN
SIM-1765970914-000672,2025-01-08T15:10:00+00:00,2025-01-08T15:20:00+00:00,long,,-2.0268596437229793,False,,,RULE_A_TRAILING,,,UNKNOWN
SIM-1765970914-000675,2025-01-08T15:25:00+00:00,2025-01-08T15:45:00+00:00,long,,4.090762383000989,False,,,RULE_A_TRAILING,,,UNKNOWN
SIM-1765970915-000680,2025-01-08T15:50:00+00:00,2025-01-08T16:20:00+00:00,long,,5.816418812175385,False,,,RULE_A_PROFIT,,,UNKNOWN
SIM-1765970917-000686,2025-01-08T16:25:00+00:00,2025-01-08T16:45:00+00:00,long,,6.487443234871763,False,,,RULE_A_PROFIT,,,UNKNOWN
SIM-1765970918-000691,2025-01-08T16:50:00+00:00,2025-01-09T12:00:00+00:00,long,,7.155165954895686,False,,,RULE_A_PROFIT,,,UNKNOWN
SIM-1765970956-000783,2025-01-09T15:00:00+00:00,2025-01-10T07:05:00+00:00,long,,7.88690698682652,False,,,RULE_A_PROFIT,,,UNKNOWN
SIM-1765970978-000841,2025-01-10T07:10:00+00:00,2025-01-10T07:25:00+00:00,long,,7.435305370606189,False,,,RULE_A_PROFIT,,,UNKNOWN
SIM-1765970980-000843,2025-01-10T07:35:00+00:00,2025-01-10T08:45:00+00:00,long,,6.5027038541609326,False,,,RULE_A_PROFIT,,,UNKNOWN
SIM-1765970984-000858,2025-01-10T08:50:00+00:00,2025-01-10T09:00:00+00:00,long,,2.9129476789789748,False,,,RULE_A_TRAILING,,,UNKNOWN
SIM-1765970985-000860,2025-01-10T09:05:00+00:00,2025-01-10T10:15:00+00:00,long,,8.43315049068907,False,,,RULE_A_PROFIT,,,UNKNOWN
