=== KANDIDAT-UBRUKTE FUNKSJONER (GROVT) ===
MULIG UBRUKT FUNKSJON: compute_file_hash  (modul=gx1/prod/verify_freeze.py, treff=0)
MULIG UBRUKT FUNKSJON: verify_prod_freeze  (modul=gx1/prod/verify_freeze.py, treff=0)
MULIG UBRUKT FUNKSJON: resolve_prod_path  (modul=gx1/prod/path_resolver.py, treff=0)
MULIG UBRUKT FUNKSJON: resolve_model_path  (modul=gx1/prod/path_resolver.py, treff=0)
MULIG UBRUKT FUNKSJON: compute_file_hash  (modul=gx1/prod/run_header.py, treff=0)
MULIG UBRUKT FUNKSJON: get_git_commit_hash  (modul=gx1/prod/run_header.py, treff=0)
MULIG UBRUKT FUNKSJON: generate_run_header  (modul=gx1/prod/run_header.py, treff=0)
MULIG UBRUKT FUNKSJON: load_run_header  (modul=gx1/prod/run_header.py, treff=0)
MULIG UBRUKT FUNKSJON: _standardize_atr_pct  (modul=gx1/core/hybrid_exit_router.py, treff=0)
MULIG UBRUKT FUNKSJON: _router_v1_condition  (modul=gx1/core/hybrid_exit_router.py, treff=0)
MULIG UBRUKT FUNKSJON: hybrid_exit_router_v1  (modul=gx1/core/hybrid_exit_router.py, treff=0)
MULIG UBRUKT FUNKSJON: hybrid_exit_router_v2  (modul=gx1/core/hybrid_exit_router.py, treff=0)
MULIG UBRUKT FUNKSJON: hybrid_exit_router_v2b  (modul=gx1/core/hybrid_exit_router.py, treff=0)
MULIG UBRUKT FUNKSJON: hybrid_exit_router_v3  (modul=gx1/core/hybrid_exit_router.py, treff=0)
MULIG UBRUKT FUNKSJON: hybrid_exit_router_adaptive  (modul=gx1/core/hybrid_exit_router.py, treff=0)
MULIG UBRUKT FUNKSJON: compute_file_hash  (modul=gx1/analysis/determinism_gate.py, treff=0)
MULIG UBRUKT FUNKSJON: run_replay  (modul=gx1/analysis/determinism_gate.py, treff=0)
MULIG UBRUKT FUNKSJON: match_trades  (modul=gx1/analysis/determinism_gate.py, treff=0)
MULIG UBRUKT FUNKSJON: generate_report  (modul=gx1/analysis/determinism_gate.py, treff=0)
MULIG UBRUKT FUNKSJON: main  (modul=gx1/analysis/determinism_gate.py, treff=0)
MULIG UBRUKT FUNKSJON: load_rule5_trade_logs  (modul=gx1/analysis/build_exit_router_dataset.py, treff=0)
MULIG UBRUKT FUNKSJON: load_rule6a_trade_logs  (modul=gx1/analysis/build_exit_router_dataset.py, treff=0)
MULIG UBRUKT FUNKSJON: load_hybrid_trade_logs  (modul=gx1/analysis/build_exit_router_dataset.py, treff=0)
MULIG UBRUKT FUNKSJON: extract_routing_features_from_hybrid  (modul=gx1/analysis/build_exit_router_dataset.py, treff=0)
MULIG UBRUKT FUNKSJON: merge_rule5_rule6a_trades  (modul=gx1/analysis/build_exit_router_dataset.py, treff=0)
MULIG UBRUKT FUNKSJON: extract_routing_features  (modul=gx1/analysis/build_exit_router_dataset.py, treff=0)
MULIG UBRUKT FUNKSJON: calculate_atr_spread_percentiles  (modul=gx1/analysis/build_exit_router_dataset.py, treff=0)
MULIG UBRUKT FUNKSJON: create_atr_bucket  (modul=gx1/analysis/build_exit_router_dataset.py, treff=0)
MULIG UBRUKT FUNKSJON: convert_to_percentiles  (modul=gx1/analysis/build_exit_router_dataset.py, treff=0)
MULIG UBRUKT FUNKSJON: build_dataset  (modul=gx1/analysis/build_exit_router_dataset.py, treff=0)
MULIG UBRUKT FUNKSJON: main  (modul=gx1/analysis/build_exit_router_dataset.py, treff=0)
MULIG UBRUKT FUNKSJON: compute_file_hash  (modul=gx1/analysis/baseline_lineage_scan.py, treff=0)
MULIG UBRUKT FUNKSJON: normalize_config_for_hash  (modul=gx1/analysis/baseline_lineage_scan.py, treff=0)
MULIG UBRUKT FUNKSJON: normalize_paths  (modul=gx1/analysis/baseline_lineage_scan.py, treff=0)
MULIG UBRUKT FUNKSJON: compute_config_hash  (modul=gx1/analysis/baseline_lineage_scan.py, treff=0)
MULIG UBRUKT FUNKSJON: load_yaml_config  (modul=gx1/analysis/baseline_lineage_scan.py, treff=0)
MULIG UBRUKT FUNKSJON: build_effective_config  (modul=gx1/analysis/baseline_lineage_scan.py, treff=0)
MULIG UBRUKT FUNKSJON: build_bundle_fingerprint  (modul=gx1/analysis/baseline_lineage_scan.py, treff=0)
MULIG UBRUKT FUNKSJON: scan_prod_snapshots  (modul=gx1/analysis/baseline_lineage_scan.py, treff=0)
MULIG UBRUKT FUNKSJON: scan_active_policies  (modul=gx1/analysis/baseline_lineage_scan.py, treff=0)
MULIG UBRUKT FUNKSJON: scan_wf_runs  (modul=gx1/analysis/baseline_lineage_scan.py, treff=0)
MULIG UBRUKT FUNKSJON: score_bundle  (modul=gx1/analysis/baseline_lineage_scan.py, treff=0)
MULIG UBRUKT FUNKSJON: find_conflicts  (modul=gx1/analysis/baseline_lineage_scan.py, treff=0)
MULIG UBRUKT FUNKSJON: generate_report  (modul=gx1/analysis/baseline_lineage_scan.py, treff=0)
MULIG UBRUKT FUNKSJON: main  (modul=gx1/analysis/baseline_lineage_scan.py, treff=0)
MULIG UBRUKT FUNKSJON: load_dataset_v3  (modul=gx1/analysis/router_training_v3.py, treff=0)
MULIG UBRUKT FUNKSJON: _clean_distance_to_range  (modul=gx1/analysis/router_training_v3.py, treff=0)
MULIG UBRUKT FUNKSJON: prepare_features_v3  (modul=gx1/analysis/router_training_v3.py, treff=0)
MULIG UBRUKT FUNKSJON: build_preprocessor  (modul=gx1/analysis/router_training_v3.py, treff=0)
MULIG UBRUKT FUNKSJON: evaluate_router_ev_binary  (modul=gx1/analysis/router_training_v3.py, treff=0)
MULIG UBRUKT FUNKSJON: compute_ev_metrics_full  (modul=gx1/analysis/router_training_v3.py, treff=0)
MULIG UBRUKT FUNKSJON: train_tree_v3  (modul=gx1/analysis/router_training_v3.py, treff=0)
MULIG UBRUKT FUNKSJON: export_tree_rules_v3  (modul=gx1/analysis/router_training_v3.py, treff=0)
MULIG UBRUKT FUNKSJON: main  (modul=gx1/analysis/router_training_v3.py, treff=0)
MULIG UBRUKT FUNKSJON: load_dataset  (modul=gx1/analysis/router_training.py, treff=0)
MULIG UBRUKT FUNKSJON: prepare_features  (modul=gx1/analysis/router_training.py, treff=0)
MULIG UBRUKT FUNKSJON: build_preprocessor  (modul=gx1/analysis/router_training.py, treff=0)
MULIG UBRUKT FUNKSJON: train_models  (modul=gx1/analysis/router_training.py, treff=0)
MULIG UBRUKT FUNKSJON: evaluate_router_model  (modul=gx1/analysis/router_training.py, treff=0)
MULIG UBRUKT FUNKSJON: export_tree_rules  (modul=gx1/analysis/router_training.py, treff=0)
