trade_id,entry_time,exit_time,pnl_bps,regime_class,trend_regime,vol_regime,session,atr_bps,spread_bps,exit_reason,overlay_triggers,overlays
SIM-1766325068-000001,2025-10-01T15:20:00+00:00,2025-10-01T15:40:00+00:00,5.359528568616747,C_CHOP,TREND_NEUTRAL,HIGH,US,16.59484353036915,5600.000000004002,RULE_A_PROFIT,"{'Q4_B_MIXED_SIZE': False, 'Q4_C_CHOP_SESSION_SIZE': True, 'Q4_A_TREND_SIZE': False}","[{'overlay_applied': False, 'overlay_name': 'Q4_B_MIXED_SIZE', 'size_before_units': 1, 'size_after_units': 1, 'multiplier': 1.0, 'quarter': None, 'regime_class': None, 'regime_reason': None, 'session': 'US', 'reason': 'disabled'}, {'overlay_name': 'Q4_C_CHOP_SESSION_SIZE', 'overlay_applied': True, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=16.59484353036915, spread_bps=5600.000000004002"", 'session': 'US', 'multiplier': 0.5, 'size_before_units': 1, 'size_after_units': 1, 'reason': 'Q4_C_CHOP_session_gate', 'impl_id': 'q4_cchop_overlay_v2_20251218_1930', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_cchop_size_overlay.py'}, {'overlay_name': 'Q4_A_TREND_SIZE', 'overlay_applied': False, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=16.59484353036915, spread_bps=5600.000000004002"", 'session': 'US', 'multiplier': 0.3, 'action': 'disable', 'size_before_units': 1, 'size_after_units': 1, 'effective_scale': True, 'reason': 'disabled', 'trend_regime': 'TREND_NEUTRAL', 'vol_regime': 'HIGH', 'atr_bps': 16.59484353036915, 'spread_bps': 5600.000000004002, 'impl_id': 'q4_atrend_overlay_v1_20251220_1640', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_atrend_size_overlay.py'}]"
SIM-1766325068-000002,2025-10-01T15:25:00+00:00,2025-10-10T08:00:00+00:00,305.28181055118637,C_CHOP,TREND_NEUTRAL,HIGH,US,16.81625864060894,0.0,REPLAY_EOF,"{'Q4_B_MIXED_SIZE': False, 'Q4_C_CHOP_SESSION_SIZE': True, 'Q4_A_TREND_SIZE': False}","[{'overlay_applied': False, 'overlay_name': 'Q4_B_MIXED_SIZE', 'size_before_units': 1, 'size_after_units': 1, 'multiplier': 1.0, 'quarter': None, 'regime_class': None, 'regime_reason': None, 'session': 'US', 'reason': 'disabled'}, {'overlay_name': 'Q4_C_CHOP_SESSION_SIZE', 'overlay_applied': True, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=16.81625864060894, spread_bps=0.0"", 'session': 'US', 'multiplier': 0.5, 'size_before_units': 1, 'size_after_units': 1, 'reason': 'Q4_C_CHOP_session_gate', 'impl_id': 'q4_cchop_overlay_v2_20251218_1930', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_cchop_size_overlay.py'}, {'overlay_name': 'Q4_A_TREND_SIZE', 'overlay_applied': False, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=16.81625864060894, spread_bps=0.0"", 'session': 'US', 'multiplier': 0.3, 'action': 'disable', 'size_before_units': 1, 'size_after_units': 1, 'effective_scale': True, 'reason': 'disabled', 'trend_regime': 'TREND_NEUTRAL', 'vol_regime': 'HIGH', 'atr_bps': 16.81625864060894, 'spread_bps': 0.0, 'impl_id': 'q4_atrend_overlay_v1_20251220_1640', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_atrend_size_overlay.py'}]"
SIM-1766325068-000003,2025-10-01T15:30:00+00:00,2025-10-10T08:00:00+00:00,298.8251011013708,C_CHOP,TREND_NEUTRAL,HIGH,US,17.159117431762034,1000000.0,REPLAY_EOF,"{'Q4_B_MIXED_SIZE': False, 'Q4_C_CHOP_SESSION_SIZE': True, 'Q4_A_TREND_SIZE': False}","[{'overlay_applied': False, 'overlay_name': 'Q4_B_MIXED_SIZE', 'size_before_units': 1, 'size_after_units': 1, 'multiplier': 1.0, 'quarter': None, 'regime_class': None, 'regime_reason': None, 'session': 'US', 'reason': 'disabled'}, {'overlay_name': 'Q4_C_CHOP_SESSION_SIZE', 'overlay_applied': True, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=17.159117431762034, spread_bps=1000000.0"", 'session': 'US', 'multiplier': 0.5, 'size_before_units': 1, 'size_after_units': 1, 'reason': 'Q4_C_CHOP_session_gate', 'impl_id': 'q4_cchop_overlay_v2_20251218_1930', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_cchop_size_overlay.py'}, {'overlay_name': 'Q4_A_TREND_SIZE', 'overlay_applied': False, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=17.159117431762034, spread_bps=1000000.0"", 'session': 'US', 'multiplier': 0.3, 'action': 'disable', 'size_before_units': 1, 'size_after_units': 1, 'effective_scale': True, 'reason': 'disabled', 'trend_regime': 'TREND_NEUTRAL', 'vol_regime': 'HIGH', 'atr_bps': 17.159117431762034, 'spread_bps': 1000000.0, 'impl_id': 'q4_atrend_overlay_v1_20251220_1640', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_atrend_size_overlay.py'}]"
SIM-1766325068-000004,2025-10-01T15:35:00+00:00,2025-10-10T08:00:00+00:00,301.038680557174,C_CHOP,TREND_NEUTRAL,HIGH,US,17.10242029167806,0.0,REPLAY_EOF,"{'Q4_B_MIXED_SIZE': False, 'Q4_C_CHOP_SESSION_SIZE': True, 'Q4_A_TREND_SIZE': False}","[{'overlay_applied': False, 'overlay_name': 'Q4_B_MIXED_SIZE', 'size_before_units': 1, 'size_after_units': 1, 'multiplier': 1.0, 'quarter': None, 'regime_class': None, 'regime_reason': None, 'session': 'US', 'reason': 'disabled'}, {'overlay_name': 'Q4_C_CHOP_SESSION_SIZE', 'overlay_applied': True, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=17.10242029167806, spread_bps=0.0"", 'session': 'US', 'multiplier': 0.5, 'size_before_units': 1, 'size_after_units': 1, 'reason': 'Q4_C_CHOP_session_gate', 'impl_id': 'q4_cchop_overlay_v2_20251218_1930', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_cchop_size_overlay.py'}, {'overlay_name': 'Q4_A_TREND_SIZE', 'overlay_applied': False, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=17.10242029167806, spread_bps=0.0"", 'session': 'US', 'multiplier': 0.3, 'action': 'disable', 'size_before_units': 1, 'size_after_units': 1, 'effective_scale': True, 'reason': 'disabled', 'trend_regime': 'TREND_NEUTRAL', 'vol_regime': 'HIGH', 'atr_bps': 17.10242029167806, 'spread_bps': 0.0, 'impl_id': 'q4_atrend_overlay_v1_20251220_1640', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_atrend_size_overlay.py'}]"
SIM-1766325069-000005,2025-10-01T15:40:00+00:00,2025-10-10T08:00:00+00:00,292.1900671418784,C_CHOP,TREND_NEUTRAL,HIGH,US,17.311676718091263,1000000.0,REPLAY_EOF,"{'Q4_B_MIXED_SIZE': False, 'Q4_C_CHOP_SESSION_SIZE': True, 'Q4_A_TREND_SIZE': False}","[{'overlay_applied': False, 'overlay_name': 'Q4_B_MIXED_SIZE', 'size_before_units': 1, 'size_after_units': 1, 'multiplier': 1.0, 'quarter': None, 'regime_class': None, 'regime_reason': None, 'session': 'US', 'reason': 'disabled'}, {'overlay_name': 'Q4_C_CHOP_SESSION_SIZE', 'overlay_applied': True, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=17.311676718091263, spread_bps=1000000.0"", 'session': 'US', 'multiplier': 0.5, 'size_before_units': 1, 'size_after_units': 1, 'reason': 'Q4_C_CHOP_session_gate', 'impl_id': 'q4_cchop_overlay_v2_20251218_1930', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_cchop_size_overlay.py'}, {'overlay_name': 'Q4_A_TREND_SIZE', 'overlay_applied': False, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=17.311676718091263, spread_bps=1000000.0"", 'session': 'US', 'multiplier': 0.3, 'action': 'disable', 'size_before_units': 1, 'size_after_units': 1, 'effective_scale': True, 'reason': 'disabled', 'trend_regime': 'TREND_NEUTRAL', 'vol_regime': 'HIGH', 'atr_bps': 17.311676718091263, 'spread_bps': 1000000.0, 'impl_id': 'q4_atrend_overlay_v1_20251220_1640', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_atrend_size_overlay.py'}]"
SIM-1766325069-000006,2025-10-01T15:45:00+00:00,2025-10-01T16:00:00+00:00,-4.190009155946827,C_CHOP,TREND_NEUTRAL,HIGH,US,17.305362935021982,400000.0,RULE_A_TRAILING,"{'Q4_B_MIXED_SIZE': False, 'Q4_C_CHOP_SESSION_SIZE': True, 'Q4_A_TREND_SIZE': False}","[{'overlay_applied': False, 'overlay_name': 'Q4_B_MIXED_SIZE', 'size_before_units': 1, 'size_after_units': 1, 'multiplier': 1.0, 'quarter': None, 'regime_class': None, 'regime_reason': None, 'session': 'US', 'reason': 'disabled'}, {'overlay_name': 'Q4_C_CHOP_SESSION_SIZE', 'overlay_applied': True, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=17.305362935021982, spread_bps=400000.0"", 'session': 'US', 'multiplier': 0.5, 'size_before_units': 1, 'size_after_units': 1, 'reason': 'Q4_C_CHOP_session_gate', 'impl_id': 'q4_cchop_overlay_v2_20251218_1930', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_cchop_size_overlay.py'}, {'overlay_name': 'Q4_A_TREND_SIZE', 'overlay_applied': False, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=17.305362935021982, spread_bps=400000.0"", 'session': 'US', 'multiplier': 0.3, 'action': 'disable', 'size_before_units': 1, 'size_after_units': 1, 'effective_scale': True, 'reason': 'disabled', 'trend_regime': 'TREND_NEUTRAL', 'vol_regime': 'HIGH', 'atr_bps': 17.305362935021982, 'spread_bps': 400000.0, 'impl_id': 'q4_atrend_overlay_v1_20251220_1640', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_atrend_size_overlay.py'}]"
SIM-1766325070-000007,2025-10-01T15:50:00+00:00,2025-10-10T08:00:00+00:00,282.1339302561825,C_CHOP,TREND_NEUTRAL,HIGH,US,17.483098532775006,1000000.0,REPLAY_EOF,"{'Q4_B_MIXED_SIZE': False, 'Q4_C_CHOP_SESSION_SIZE': True, 'Q4_A_TREND_SIZE': False}","[{'overlay_applied': False, 'overlay_name': 'Q4_B_MIXED_SIZE', 'size_before_units': 1, 'size_after_units': 1, 'multiplier': 1.0, 'quarter': None, 'regime_class': None, 'regime_reason': None, 'session': 'US', 'reason': 'disabled'}, {'overlay_name': 'Q4_C_CHOP_SESSION_SIZE', 'overlay_applied': True, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=17.483098532775006, spread_bps=1000000.0"", 'session': 'US', 'multiplier': 0.5, 'size_before_units': 1, 'size_after_units': 1, 'reason': 'Q4_C_CHOP_session_gate', 'impl_id': 'q4_cchop_overlay_v2_20251218_1930', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_cchop_size_overlay.py'}, {'overlay_name': 'Q4_A_TREND_SIZE', 'overlay_applied': False, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=17.483098532775006, spread_bps=1000000.0"", 'session': 'US', 'multiplier': 0.3, 'action': 'disable', 'size_before_units': 1, 'size_after_units': 1, 'effective_scale': True, 'reason': 'disabled', 'trend_regime': 'TREND_NEUTRAL', 'vol_regime': 'HIGH', 'atr_bps': 17.483098532775006, 'spread_bps': 1000000.0, 'impl_id': 'q4_atrend_overlay_v1_20251220_1640', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_atrend_size_overlay.py'}]"
SIM-1766325070-000008,2025-10-01T15:55:00+00:00,2025-10-10T08:00:00+00:00,281.62898173133595,C_CHOP,TREND_NEUTRAL,HIGH,US,13.805200260336127,714285.7142857143,REPLAY_EOF,"{'Q4_B_MIXED_SIZE': False, 'Q4_C_CHOP_SESSION_SIZE': True, 'Q4_A_TREND_SIZE': False}","[{'overlay_applied': False, 'overlay_name': 'Q4_B_MIXED_SIZE', 'size_before_units': 1, 'size_after_units': 1, 'multiplier': 1.0, 'quarter': None, 'regime_class': None, 'regime_reason': None, 'session': 'US', 'reason': 'disabled'}, {'overlay_name': 'Q4_C_CHOP_SESSION_SIZE', 'overlay_applied': True, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=13.805200260336127, spread_bps=714285.7142857143"", 'session': 'US', 'multiplier': 0.5, 'size_before_units': 1, 'size_after_units': 1, 'reason': 'Q4_C_CHOP_session_gate', 'impl_id': 'q4_cchop_overlay_v2_20251218_1930', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_cchop_size_overlay.py'}, {'overlay_name': 'Q4_A_TREND_SIZE', 'overlay_applied': False, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=13.805200260336127, spread_bps=714285.7142857143"", 'session': 'US', 'multiplier': 0.3, 'action': 'disable', 'size_before_units': 1, 'size_after_units': 1, 'effective_scale': True, 'reason': 'disabled', 'trend_regime': 'TREND_NEUTRAL', 'vol_regime': 'HIGH', 'atr_bps': 13.805200260336127, 'spread_bps': 714285.7142857143, 'impl_id': 'q4_atrend_overlay_v1_20251220_1640', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_atrend_size_overlay.py'}]"
SIM-1766325070-000009,2025-10-01T16:00:00+00:00,2025-10-10T08:00:00+00:00,291.0185000737319,C_CHOP,TREND_NEUTRAL,HIGH,US,14.26980248109575,1000000.0,REPLAY_EOF,"{'Q4_B_MIXED_SIZE': False, 'Q4_C_CHOP_SESSION_SIZE': True, 'Q4_A_TREND_SIZE': False}","[{'overlay_applied': False, 'overlay_name': 'Q4_B_MIXED_SIZE', 'size_before_units': 1, 'size_after_units': 1, 'multiplier': 1.0, 'quarter': None, 'regime_class': None, 'regime_reason': None, 'session': 'US', 'reason': 'disabled'}, {'overlay_name': 'Q4_C_CHOP_SESSION_SIZE', 'overlay_applied': True, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=14.26980248109575, spread_bps=1000000.0"", 'session': 'US', 'multiplier': 0.5, 'size_before_units': 1, 'size_after_units': 1, 'reason': 'Q4_C_CHOP_session_gate', 'impl_id': 'q4_cchop_overlay_v2_20251218_1930', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_cchop_size_overlay.py'}, {'overlay_name': 'Q4_A_TREND_SIZE', 'overlay_applied': False, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=14.26980248109575, spread_bps=1000000.0"", 'session': 'US', 'multiplier': 0.3, 'action': 'disable', 'size_before_units': 1, 'size_after_units': 1, 'effective_scale': True, 'reason': 'disabled', 'trend_regime': 'TREND_NEUTRAL', 'vol_regime': 'HIGH', 'atr_bps': 14.26980248109575, 'spread_bps': 1000000.0, 'impl_id': 'q4_atrend_overlay_v1_20251220_1640', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_atrend_size_overlay.py'}]"
SIM-1766325071-000010,2025-10-01T16:05:00+00:00,2025-10-01T16:35:00+00:00,6.204051245463523,C_CHOP,TREND_NEUTRAL,HIGH,US,14.40607420582402,333333.3333333333,RULE_A_PROFIT,"{'Q4_B_MIXED_SIZE': False, 'Q4_C_CHOP_SESSION_SIZE': True, 'Q4_A_TREND_SIZE': False}","[{'overlay_applied': False, 'overlay_name': 'Q4_B_MIXED_SIZE', 'size_before_units': 1, 'size_after_units': 1, 'multiplier': 1.0, 'quarter': None, 'regime_class': None, 'regime_reason': None, 'session': 'US', 'reason': 'disabled'}, {'overlay_name': 'Q4_C_CHOP_SESSION_SIZE', 'overlay_applied': True, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=14.40607420582402, spread_bps=333333.3333333333"", 'session': 'US', 'multiplier': 0.5, 'size_before_units': 1, 'size_after_units': 1, 'reason': 'Q4_C_CHOP_session_gate', 'impl_id': 'q4_cchop_overlay_v2_20251218_1930', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_cchop_size_overlay.py'}, {'overlay_name': 'Q4_A_TREND_SIZE', 'overlay_applied': False, 'quarter': 'Q4', 'regime_class': 'C_CHOP', 'regime_reason': ""C_CHOP: trend_regime='trend_neutral', vol_regime='high', atr_bps=14.40607420582402, spread_bps=333333.3333333333"", 'session': 'US', 'multiplier': 0.3, 'action': 'disable', 'size_before_units': 1, 'size_after_units': 1, 'effective_scale': True, 'reason': 'disabled', 'trend_regime': 'TREND_NEUTRAL', 'vol_regime': 'HIGH', 'atr_bps': 14.40607420582402, 'spread_bps': 333333.3333333333, 'impl_id': 'q4_atrend_overlay_v1_20251220_1640', 'impl_file': '/Users/andrekildalbakke/Desktop/GX1 XAUUSD/gx1/sniper/policy/sniper_q4_atrend_size_overlay.py'}]"
